seeAlso,station name,station name english,line name,line name english,line name french
http://linkdata.org/resource/rdf1s3114i#N-16,王子駅,Ōji,南北線,Namboku Line,Ligne Namboku
http://linkdata.org/resource/rdf1s3114i#N-17,王子神谷駅,Ōji-Kamiya,南北線,Namboku Line,Ligne Namboku
http://linkdata.org/resource/rdf1s3114i#N-18,志茂駅,Shimo,南北線,Namboku Line,Ligne Namboku
http://linkdata.org/resource/rdf1s3114i#N-19,赤羽岩淵駅,Akabane-Iwabuchi,南北線,Namboku Line,Ligne Namboku
http://linkdata.org/resource/rdf1s3114i#F-01,和光市駅,Wakōshi,副都心線,Fukutoshin Line,Ligne Fukutoshin
http://linkdata.org/resource/rdf1s3114i#F-02,地下鉄成増駅,Chikatetsu-Narimasu,副都心線,Fukutoshin Line,Ligne Fukutoshin
http://linkdata.org/resource/rdf1s3114i#F-03,地下鉄赤塚駅,Chikatetsu-Akatsuka,副都心線,Fukutoshin Line,Ligne Fukutoshin
http://linkdata.org/resource/rdf1s3114i#F-04,平和台駅,Heiwadai,副都心線,Fukutoshin Line,Ligne Fukutoshin
http://linkdata.org/resource/rdf1s3114i#F-05,氷川台駅,Hikawadai,副都心線,Fukutoshin Line,Ligne Fukutoshin
http://linkdata.org/resource/rdf1s3114i#F-06,小竹向原駅,Kotake-Mukaihara,副都心線,Fukutoshin Line,Ligne Fukutoshin
http://linkdata.org/resource/rdf1s3114i#F-07,千川駅,Senkawa,副都心線,Fukutoshin Line,Ligne Fukutoshin
http://linkdata.org/resource/rdf1s3114i#F-08,要町駅,Kanamechō,副都心線,Fukutoshin Line,Ligne Fukutoshin
http://linkdata.org/resource/rdf1s3114i#F-09,池袋駅,Ikebukuro,副都心線,Fukutoshin Line,Ligne Fukutoshin
http://linkdata.org/resource/rdf1s3114i#F-10,雑司が谷駅,Zōshigaya,副都心線,Fukutoshin Line,Ligne Fukutoshin
http://linkdata.org/resource/rdf1s3114i#F-11,西早稲田駅,Nishi-Waseda,副都心線,Fukutoshin Line,Ligne Fukutoshin
http://linkdata.org/resource/rdf1s3114i#F-12,東新宿駅,Higashi-Shinjuku,副都心線,Fukutoshin Line,Ligne Fukutoshin
http://linkdata.org/resource/rdf1s3114i#F-13,新宿三丁目駅,Shinjuku-Sanchōme,副都心線,Fukutoshin Line,Ligne Fukutoshin
http://linkdata.org/resource/rdf1s3114i#F-14,北参道駅,Kitasandō,副都心線,Fukutoshin Line,Ligne Fukutoshin
http://linkdata.org/resource/rdf1s3114i#F-15,明治神宮前〈原宿〉駅,Meiji-Jingūmae,副都心線,Fukutoshin Line,Ligne Fukutoshin
http://linkdata.org/resource/rdf1s3114i#F-16,渋谷駅,Shibuya,副都心線,Fukutoshin Line,Ligne Fukutoshin
